id,name,formula,charge,biocyc,chebi,hmdb,inchikey,kegg.compound,metanetx.chemical,reactome,seed.compound,KEGGDrug,lipidmaps
ile__L,L-Isoleucine,C6H13NO2,0,META:ILE,CHEBI:13127,HMDB00172,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C00407,MNXM231,R-ALL-113537,cpd00322,D00065,LMFA01100047
ura,Uracil,C4H4N2O2,0,META:URACIL,CHEBI:15288,HMDB00300,ISAKRJDGNUQOIC-UHFFFAOYSA-N,C00106,MNXM158,R-ALL-83962,cpd00092,D00027,
phe__L,L-Phenylalanine,C9H11NO2,0,META:PHE,CHEBI:13151,HMDB00159,COLNVLDHVKWLRT-QMMMGPOBSA-N,C00079,MNXM97,R-ALL-29502,cpd00066,D00021,
acglu,N-Acetyl-L-glutamate,C7H9NO5,0,META:ACETYL-GLU,CHEBI:12575,,RFMMMVDNIPUKGG-YFKPBYRVSA-L,C00624,MNXM730,R-ALL-30471,cpd00477,,
glu__L,L-Glutamate,C5H8NO4,0,META:GLT,CHEBI:13107,HMDB00148,WHUUTDBJXJRKMK-VKHMYHEASA-M,C00025,MNXM89557,R-ALL-113552,cpd00023,D00007,
4hbz,4-Hydroxybenzoate,C7H5O3,-1,,,,,c00156,,r-all-2162213,cpd00136,,
5oxpro,5-Oxoproline,C5H6NO3,-1,,,,,c01879,,r-all-1247942,cpd01293,,
asn__L,L-Asparagine,C4H7N2O3,0,META:ASN,CHEBI:13083,HMDB00168,DCXYFEDJOCDNAF-REOHCLBHSA-N,C00152,MNXM147,R-ALL-29642,cpd00132,,
csn,Cytosine,C4H5N3O,0,META:CYTOSINE,CHEBI:14066,HMDB00630,OPTASPLRGRRNAP-UHFFFAOYSA-N,C00380,MNXM761,,cpd00307,,
gsn,Guanosine,C10H12N5O5,0,META:GUANOSINE,CHEBI:14375,HMDB00133,NYHBQMYGNKIUIF-UUOKFMHZSA-N,C00387,MNXM401,,cpd00311,,
glypro,Glycylproline,,0,,,,,,,,,,
cytd,Cytidine,C9H13N3O5,0,META:CYTIDINE,CHEBI:14063,HMDB00089,UHDGCWIWMRVCDJ-XVFCMESISA-N,C00475,MNXM338,,cpd00367,D07769,
hom__L,L-Homoserine,C4H9NO3,0,META:HOMO-SER,CHEBI:13123,HMDB00719,UKAUYVFTDYCKQA-VKHMYHEASA-N,C00263,MNXM353,,cpd00227,,
gal14lac,gal14l-L[c],C6H10O6,0,,,,,,,,,,
mnl,D-Mannitol,,0,,,,,,,,,,
gal,D-Galactose,C6H12O6,0,META:ALPHA-D-GALACTOSE,CHEBI:10231,HMDB00143,WQZGKKKJIJFFOK-PHYPRBDBSA-N,C00124,MNXM390,,cpd00108,D04291,
4hpro_LT,trans-4-Hydroxy-L-proline (protein-linked),C5H9NO3,0,META:4-HYDROXY-L-PROLINE,CHEBI:10713,HMDB00725,PMMYEEVYMWASQN-DMTCNVIQSA-N,C01157,MNXM87584,,cpd00851,,
cys__L,L-Cysteine,C3H7NO2S,0,META:CYS,CHEBI:13095,HMDB00574,XUJNEKJLAYXESH-REOHCLBHSA-N,C00097,MNXM55,R-ALL-111707,cpd00084,D00026,
glyc3p,Glycerol 3-phosphate,C3H7O6P,0,META:GLYCEROL-3P,CHEBI:10648,HMDB00126,AWUCVROLDVIAJX-GSVOUGTGSA-L,C00093,MNXM66,R-ALL-188458,cpd00080,,
acac,Acetoacetate,C4H5O3,0,META:3-KETOBUTYRATE,CHEBI:131367,HMDB00060,WDJHALXBUFZDSR-UHFFFAOYSA-M,C00164,MNXM154,R-ALL-29666,cpd00142,,LMFA01060003
